ticker,company,listing
IDTVF,AB Industrivärden (publ),otc
IDTRY,Indutrade AB (publ),otc
IFHLY,Inficon Holding AG/ADR,sec_only
IFPJF,Informa plc,otc
IPHYF,Innate Pharma S.A.,otc
IVBXF,Innovent Biologics Inc/ADR,sec_only
IPXHF,Inpex Corporation,otc
ICR-PA,"InPoint Commercial Real Estate Income, Inc.",sec_only
INPOF,InPost S.A./ADR,sec_only
IAUGY,Insurance Australia Group Limited,otc
INTAF,Intact Financial Corporation,otc
SAXJY,Sa Sa International Holdings Limited,otc
BABWF,International Consolidated Airlines Group S.A.,otc
ICTEF,"International Container Terminal Services, Inc.",otc
IMAQU,International Media Acquisition Corp.,otc
IMAQ,International Media Acquisition Corp.,sec_only
INRNY,Interroll Holding AG,otc
IKTSF,Intertek Group plc,otc
INJJF,Intrum AB (publ),otc
IVTJY,Investec Group,otc
ITCFY,Investec Group,otc
IVSXF,Investor AB (publ),otc
IPSEF,Ipsen S.A.,otc
IPSAY,IPSOS/ADR,sec_only
IQEPF,IQE PLC/ADR,sec_only
IRDEF,Iren SpA,otc
